,Date,Confirmed,T,N,N_squared
0,2020-01-22,555.0,0,0.0,0.0
1,2020-01-23,653.0,1,555.0,308025.0
2,2020-01-24,941.0,2,1208.0,1459264.0
3,2020-01-25,2019.0,3,2149.0,4618201.0
4,2020-01-26,2794.0,4,4168.0,17372224.0
5,2020-01-27,4473.0,5,6962.0,48469444.0
6,2020-01-28,6057.0,6,11435.0,130759225.0
7,2020-01-29,7783.0,7,17492.0,305970064.0
8,2020-01-30,9776.0,8,25275.0,638825625.0
9,2020-01-31,11374.0,9,35051.0,1228572601.0
10,2020-02-01,14549.0,10,46425.0,2155280625.0
11,2020-02-02,17295.0,11,60974.0,3717828676.0
12,2020-02-03,20588.0,12,78269.0,6126036361.0
13,2020-02-04,24503.0,13,98857.0,9772706449.0
14,2020-02-05,24630.0,14,123360.0,15217689600.0
15,2020-02-06,30806.0,15,147990.0,21901040100.0
16,2020-02-07,31532.0,16,178796.0,31968009616.0
17,2020-02-08,37549.0,17,210328.0,44237867584.0
18,2020-02-09,40536.0,18,247877.0,61443007129.0
19,2020-02-10,42767.0,19,288413.0,83182058569.0
20,2020-02-11,45117.0,20,331180.0,109680192400.0
21,2020-02-12,60328.0,21,376297.0,141599432209.0
22,2020-02-13,64422.0,22,436625.0,190641390625.0
